name
ABREOLANDIA
ACADEMIA FORMA ATLETICA
ACARACUZINHO (MARACANAU)
ACARAPE
AEROLANDIA
AEROPORTO
AGUA FRIA
ALAGADICO
ALDEOTA
ALTO ALEGRE II (MARACANAU)
ALTO ALEGRE I (MARACANAU)
ALTO ALEGRE (MESSEJANA)
ALTO DA BALANCA
ALTO DA MANGUEIRA
ALVARO WEYNE
ALVORADA
ALVORADA (MARACANAU)
AMADEO FURTADO
AMANARI
ANCURI
ANTONIO BEZERRA
ANTONIO JUSTA (MARACANAU)
AQUIRAZ
ARACAPE
ARACATI
ARATURI
AREAL
ARVOREDO
ASSAI ( MARACANAU )
ASSAI (W.SOARES)
ATACADAO (AEROPORTO)
ATACADAO (EUSEBIO)
AUTRAN NUNES
BAIAO DE 10 (MARAPONGA)
BAIAO DE 2 (EDUARDO GIRAO)
BAIRRO DE FATIMA
BAIRRO ELLERY
BANDEIRANTES (MARACANAU)
BANDEIRANTES (MESSEJANA)
BAR DO RAILSON
BARRA DO CEARA
BARROSO I
BARROSO II
BASE AEREA (FORTALEZA)
BATALHAO 23 BC (13 DE MAIO )
BATURITE
BEACH PARK
BEIRA MAR
BELA VISTA
BELA VISTA (MARACANAU)
BENFICA
BOA VISTA (CASTELAO)
BOM FUTURO
BOM JARDIM
BONSUCESSO
CACA E PESCA
CAGADO ( MARACANAU )
CAIS DO PORTO
CAJAZEIRAS
CAMBEBA
CANINDE
CANINDEZINHO
CARIDADE
CARLITO PAMPLONA
CARREFOUR (BARAO DE STUDART)
CARREFOUR (MARAPONGA)
CASCAVEL
CASTELAO
CASTELO ENCANTADO
CAUCAIA
CEASA
CENTER BOX ( MESSEJANA ) 
CENTRO
CENTRO DE CONVECOES (WASHINGTON SOARES)
CENTRO (MARACANAU)
CHOROZINHO
CIDADE 2000
CIDADE DOS FUNCIONARIOS
CIDADE NOVA
CLINICA PRONEFRON ( CAMBEBA )
CLUBE 360
CLUBE DO VAQUEIRO
COACU
COCO
COLEGIO ATRIUS SJT
COLONIA(MARACANAU)
CONJUNTO CEARA 
CONJUNTO ESPERANCA
CONJUNTO PALMEIRAS
COQUEIRAL (MARACANAU)
CORREIOS ( MESSEJANA )
COUTO FERNANDES
CRISTO REDENTOR
CURIO
CURRAL DO BOI /THE CLUB
DAMAS
DANADIM (PARANGABA)
DE LOURDES
DEMOCRITO ROCHA
DENDE
DIAS MACEDO
DIONISIO TORRES
DOM LUSTOSA
DRAGAO DO MAR
DUNAS
EDSON QUEIROZ
ELISABETE II
ESMALTEC (MARACANAU)
EUSEBIO
EXTRA (AGUANAMBI)
EXTRA DA RODOVIARIA
EXTRA (MONTESE)
EXTRA ( PARANGABA ) 
FACULDADE FANOR
FARIAS BRITO
FAROESTE
FAZENDA SAO JERONIMO
FERNANDO DE NORONHA
FLORESTA
FORRO NO SITIO
FORROZIM (PARANGABA)
FORUM (CLOVIS BEVILAQUA)
FORUM (MARACANAU)
FURNA DA ONCA (MARACANAU)
GAMEC ( CLINICA 13 MAIO )
GARROTE (CAUCAIA)
GATE (MARACANAU)
G BARBOSA (BORGES DE MELO)
G BARBOSA (PADRE VALDEVINO)
G BARBOSA (PARANGABA)
GENIBAU
GENTILANDIA
GINAISIO PAULO SARASATE
GRANJA LISBOA
GRANJA PORTUGAL
GUAIUBA
GUAJERU
GUARAMIRANGA
GUARARAPES
GVT (PONTES VIEIRA)
HABIB´S (13 DE MAIO)
